student_id,question_id,is_correct
S1,1,1
S2,1,1
S3,1,1
S4,1,1
S5,1,0
S1,2,1
S2,2,0
S3,2,1
S4,2,0
S5,2,1
S1,3,1
S2,3,1
S3,3,1
S4,3,1
S5,3,0
S1,4,1
S2,4,1
S3,4,0
S4,4,0
S5,4,1
S1,5,0
S2,5,0
S3,5,1
S4,5,0
S5,5,0
S1,6,1
S2,6,1
S3,6,1
S4,6,0
S5,6,0
S1,7,0
S2,7,0
S3,7,0
S4,7,0
S5,7,0
S1,8,1
S2,8,0
S3,8,0
S4,8,0
S5,8,0
S1,9,1
S2,9,1
S3,9,1
S4,9,0
S5,9,0
S1,10,1
S2,10,1
S3,10,1
S4,10,0
S5,10,0
S1,11,1
S2,11,1
S3,11,1
S4,11,0
S5,11,0
S1,12,1
S2,12,1
S3,12,0
S4,12,0
S5,12,0
S1,13,0
S2,13,1
S3,13,0
S4,13,0
S5,13,0
S1,14,1
S2,14,1
S3,14,1
S4,14,1
S5,14,0
S1,15,1
S2,15,0
S3,15,0
S4,15,1
S5,15,0
S1,16,1
S2,16,0
S3,16,1
S4,16,1
S5,16,0
S1,17,1
S2,17,1
S3,17,0
S4,17,0
S5,17,0
S1,18,1
S2,18,0
S3,18,0
S4,18,1
S5,18,1
S1,19,1
S2,19,1
S3,19,0
S4,19,0
S5,19,0
S1,20,1
S2,20,0
S3,20,1
S4,20,0
S5,20,0
S1,21,1
S2,21,1
S3,21,0
S4,21,0
S5,21,0
S1,22,1
S2,22,1
S3,22,1
S4,22,0
S5,22,0
S1,23,0
S2,23,1
S3,23,0
S4,23,1
S5,23,0
S1,24,0
S2,24,1
S3,24,0
S4,24,0
S5,24,0
S1,25,0
S2,25,1
S3,25,0
S4,25,0
S5,25,1
S1,26,1
S2,26,1
S3,26,0
S4,26,0
S5,26,0
S1,27,1
S2,27,1
S3,27,0
S4,27,0
S5,27,0
S1,28,1
S2,28,1
S3,28,0
S4,28,0
S5,28,0
S1,29,1
S2,29,1
S3,29,1
S4,29,0
S5,29,0
S1,30,1
S2,30,1
S3,30,0
S4,30,1
S5,30,0
S1,31,0
S2,31,0
S3,31,0
S4,31,0
S5,31,0
