question_id,chapter,concept_id,bloom_level,difficulty,question_type,correct_answer,correct_reasoning
1,Electricity,E02,understand,1,Conceptual,B,"An open switch creates a break in the circuit. Current requires a complete closed path; with the circuit open, no charge can flow regardless of the battery voltage."
2,Electricity,E05,understand,1,Conceptual,C,Conventional current is defined as flowing from + to − in the external circuit — opposite to actual electron flow. This is a historical convention established before electrons were discovered.
3,Electricity,"E07,E10",understand,2,Conceptual,B,Ammeter has very low resistance and must be in series to measure current without disturbing the circuit. Voltmeter has very high resistance and must be in parallel to measure voltage drop across the component.
4,Electricity,E13,understand,2,Conceptual,B,"Nichrome wire is an ohmic conductor — at constant temperature, R is constant, so V-I is linear. The bulb filament gets hot as current increases, which increases its resistance, so the V-I curve bends (slope increases) — non-ohmic behavior."
5,Electricity,E16,analyze,2,Graph-Based,A,"The slope of a V-I graph (V on y-axis, I on x-axis) equals resistance R = V/I. A steeper slope (larger angle with I-axis) means higher R. Increasing the angle from 45° to 60° means the slope increased — resistance increased."
6,Electricity,E14,apply,2,Numerical,B,Using Ohm's Law: R = V/I = 6 V / 0.5 A = 12 Ω.
7,Electricity,E36,apply,2,Numerical,C,"Using Joule's Law: H = I²Rt. t = 3 min = 180 s. H = (4)² × 50 × 180 = 16 × 50 × 180 = 144,000 J."
8,Electricity,E40,apply,2,Numerical,A,"Energy = Power × Time = 100 W × (5 × 30) h = 100 W × 150 h = 15,000 Wh = 15 kWh. (Divide by 1000 to convert Wh to kWh.)"
9,Electricity,E25,apply,2,Numerical,B,"In series: R_total = 3 + 6 + 9 = 18 Ω. Current I = V/R = 36/18 = 2 A. In series, the same current flows through all resistors — so current through 6 Ω is also 2 A."
10,Electricity,E29,apply,2,Numerical,C,"1/R_eq = 1/4 + 1/12 = 3/12 + 1/12 = 4/12. Therefore R_eq = 12/4 = 3 Ω. In parallel, equivalent resistance is always less than the smallest individual resistance (3 < 4)."
11,Electricity,E19,apply,2,Numerical,C,"When wire is stretched to 2L, volume is constant so area becomes A/2 (since L×A = constant). New R = ρ(2L)/(A/2) = 4ρL/A = 4 × original R = 4 × 8 = 32 Ω."
12,Electricity,E33,analyze,2,Conceptual,B,"In parallel, each appliance receives the full 220 V supply voltage and can be switched on/off independently. In series, switching off one device breaks the circuit for all, and each device would only get a fraction of the supply voltage."
13,Electricity,E39,understand,2,Conceptual,B,"The fuse wire has a low melting point. When current exceeds its rated value (8 A > 5 A), the wire heats up by Joule effect, melts, and breaks the circuit — protecting the appliance."
14,Electricity,"E45,E46",understand,2,Conceptual,B,"If the live wire accidentally touches the metal casing, the earth wire provides a low-resistance path to ground. The huge current melts the fuse, breaking the circuit before the person touching the case gets a dangerous shock."
15,Magnetic Effects,M04,understand,1,Conceptual,B,"Magnetic poles always exist in pairs (dipoles). Every piece of a magnet, no matter how small, always has both a north and south pole. Magnetic monopoles do not exist."
16,Magnetic Effects,M03,understand,2,Conceptual,C,"Magnetic field lines are denser (closer together) where the field is STRONGER, not weaker. Near the poles the lines are crowded = strong field; far away they spread out = weaker field."
17,Magnetic Effects,M09,understand,1,Conceptual,B,"The magnetic field direction around a wire depends on the direction of current. Reversing current reverses the field direction, which reverses the torque on the compass needle — it deflects in the opposite direction."
18,Magnetic Effects,M12,apply,2,Conceptual,D,"Right-Hand Thumb Rule: point thumb upward (current direction). Curled fingers show field direction. At the east side of the wire, the fingers curl from east toward south — so field points southward at that location."
19,Magnetic Effects,M20,apply,2,Conceptual,C,"Fleming's Left-Hand Rule gives the direction of mechanical force (or motion) on a current-carrying conductor in an external magnetic field — this is the motor principle. Forefinger=B, Middle=I, Thumb=Force."
20,Magnetic Effects,M15,understand,2,Conceptual,C,"Inside a solenoid, the magnetic fields from each turn add up constructively to produce a uniform, parallel field along the axis. This is why a solenoid field resembles a bar magnet and is used in electromagnets."
21,Magnetic Effects,M31,understand,2,Conceptual,C,An electric motor uses the force on a current-carrying conductor in a magnetic field (FLHR) to produce rotational motion — converting electrical energy to mechanical energy.
22,Magnetic Effects,M33,understand,2,Conceptual,A,"Electromagnetic induction requires a CHANGING magnetic flux. While the magnet moves, flux through the ring changes → EMF is induced → current flows. When the magnet stops, flux is constant → no EMF → current stops. Copper is a good conductor (not magnetic, but that's irrelevant — conductors are needed, not magnetic materials)."
23,Magnetic Effects,M18,apply,2,Numerical,A,"F = BIL sin θ = 0.4 × 2 × 0.5 × sin 90° = 0.4 × 2 × 0.5 × 1 = 0.4 N. Since conductor is perpendicular to field, θ = 90° and sin 90° = 1."
24,Electricity,"E35,E36",analyze,2,Graph-Based,B,"From Joule's Law, H = I²Rt. At constant current, H/t = I²R = constant × R. A steeper slope of H vs t means higher I²R = higher R (since same I). Therefore R1 > R2."
25,Electricity,"E25,E29",analyze,3,Graph-Based,C,"For any two resistors R1 and R2 (both positive): Series R_eq = R1+R2; Parallel R_eq = R1R2/(R1+R2). Since R1+R2 > R1R2/(R1+R2) always (provable by algebra), series equivalent is ALWAYS greater than parallel equivalent regardless of values."
26,Magnetic Effects,M10,analyze,2,Graph-Based,C,"The magnetic field around a straight wire: B = μ₀I/(2πr), so B ∝ 1/r. This is an inverse relationship — a hyperbola that decreases rapidly and approaches zero asymptotically."
27,Electricity,"E19,E20",analyze,3,Conceptual,C,"Same material → same ρ. Same volume → L_P × A_P = L_Q × A_Q. If L_P = 2L_Q, then A_P = A_Q/2. R = ρL/A. R_P/R_Q = (ρ × 2L_Q / (A_Q/2)) / (ρ × L_Q / A_Q) = (2L_Q × 2A_Q) / (L_Q × A_Q) wait: R_P = ρ(2L)/(A/2) = 4ρL/A. R_Q = ρL/A. Ratio = 4:1."
